feature_id,total_times_active,average_activated_value,std_activated_value,total_times_active_hot,average_activated_value_hot,std_activated_value_hot,total_times_active_cold,average_activated_value_cold,std_activated_value_cold,delta_total_times_active,delta_average_activated_value
6321,67,0.81128,0.662809,64,0.79676,0.66265,3,1.121037,0.585969,61,-0.324277
13798,139,0.513948,0.407152,100,0.521323,0.395979,39,0.495039,0.433917,61,0.026285
23149,335,0.613805,0.484888,137,0.575231,0.467662,198,0.640495,0.4947,-61,-0.065263
17146,65,2.322214,1.108643,63,2.375891,1.083685,2,0.631391,0.054777,61,1.7445
2449,72,3.679963,2.745441,6,0.874045,0.416371,66,3.935047,2.725086,-60,-3.061002
16583,62,5.531111,3.511682,61,5.620127,3.470273,1,0.101138,0.0,60,5.518989
4648,222,1.481228,1.224683,81,1.551086,1.334884,141,1.441098,1.154727,-60,0.109988
13724,288,1.518633,1.245845,174,1.652714,1.249508,114,1.313983,1.211962,60,0.338732
3731,62,19.63063,3.525867,61,19.936401,2.61511,1,0.97861,0.0,60,18.957791
3746,62,1.834703,0.631569,61,1.863438,0.595171,1,0.081921,0.0,60,1.781516
9653,62,2.543351,0.989154,61,2.565431,0.981957,1,1.196471,0.0,60,1.36896
10951,62,3.468495,0.745708,61,3.513357,0.663637,1,0.7319,0.0,60,2.781458
