feature_id,total_times_active,average_activated_value,std_activated_value,total_times_active_hot,average_activated_value_hot,std_activated_value_hot,total_times_active_cold,average_activated_value_cold,std_activated_value_cold,delta_total_times_active,delta_average_activated_value
1548,92,26.056085,5.608104,79,25.832651,5.349112,13,27.413871,6.822691,66,-1.58122
10351,230,27.795544,9.728184,82,27.206451,10.008078,148,28.121933,9.553959,-66,-0.915482
443,317,28.204675,12.351309,126,27.900965,12.788803,191,28.405028,12.049821,-65,-0.504063
931,653,33.789562,9.796001,359,33.164205,9.553119,294,34.553179,10.031928,65,-1.388974
191,187,31.436022,14.448873,126,32.729405,15.241157,61,28.764444,12.230652,65,3.964961
97,455,38.873079,25.823435,260,37.611784,24.638098,195,40.554806,27.233294,65,-2.943022
415,153,35.415845,20.814887,109,36.325557,21.204299,44,33.16224,19.63659,65,3.163318
330,236,31.082484,19.914357,150,32.536422,20.311784,86,28.546545,18.936191,64,3.989876
325,178,31.357628,17.165662,121,35.869705,18.39288,57,21.77936,8.189239,64,14.090345
373,216,36.34323,20.815595,140,35.159193,19.527854,76,38.524351,22.83966,64,-3.365158
310,1737,54.135149,20.690863,900,55.010923,21.227702,837,53.193456,20.055,63,1.817467
1808,245,36.150209,9.593985,91,32.468899,7.723163,154,38.325529,9.922115,-63,-5.856631
171,725,38.843523,20.977433,394,39.263959,20.68983,331,38.343064,21.303905,63,0.920895
941,127,29.284877,11.810587,95,30.654671,11.091684,32,25.218301,12.894246,63,5.436369
991,1824,29.585987,11.347219,881,29.706313,11.306761,943,29.473572,11.383738,-62,0.232741
1511,136,30.507137,7.220131,37,27.12392,4.343899,99,31.771572,7.660578,-62,-4.647652
11,330,49.609449,31.561306,134,48.956507,33.962621,196,50.055849,29.800229,-62,-1.099342
29,99,35.170899,16.293681,19,38.133487,22.131725,80,34.467285,14.478476,-61,3.666202
1359,99,29.572141,12.349013,80,31.444688,12.048401,19,21.687736,10.317509,61,9.756952
2345,67,33.691492,7.433848,64,34.097656,7.345975,3,25.026644,2.090392,61,9.071012
210,163,25.578487,15.660531,51,24.67331,15.544845,112,25.990665,15.695639,-61,-1.317356
9570,67,57.3003,14.662335,64,58.000404,14.066253,3,42.364733,18.62206,61,15.635671
684,258,37.969495,20.46799,159,40.989102,21.029165,99,33.119823,18.53037,60,7.869278
6625,626,31.359831,8.111862,343,32.416014,8.831112,283,30.079721,6.931213,60,2.336293
1093,116,30.754704,8.543408,88,31.593726,8.78088,28,28.117778,7.134017,60,3.475948
12782,220,31.368284,12.194256,80,28.270298,8.281825,140,33.138562,13.633032,-60,-4.868264
4742,60,71.639619,9.395422,60,71.639619,9.395422,0,0.0,0.0,60,71.639619
12110,70,105.366605,23.744477,65,108.892419,20.593508,5,59.531024,10.83933,60,49.361395
295,132,33.649364,19.224994,96,36.032647,19.583006,36,27.293943,16.643688,60,8.738704
497,1549,37.597475,20.426632,804,37.753727,20.439697,745,37.428849,20.411181,59,0.324878
12400,99,80.084244,55.987535,79,89.953044,56.775891,20,41.102481,29.650917,59,48.850563
522,378,38.937084,24.23018,218,31.177385,14.892143,160,49.509675,29.85026,58,-18.332291
4712,70,32.522213,9.238252,6,38.104923,11.249234,64,31.998833,8.847995,-58,6.10609
2151,248,24.18428,6.449597,95,22.881531,5.555011,153,24.993177,6.823291,-58,-2.111647
595,122,38.52891,17.593717,32,30.805434,11.67116,90,41.275034,18.504431,-58,-10.4696
1387,96,26.509665,6.147336,19,26.56534,7.483134,77,26.495927,5.77027,-58,0.069412
